ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
603486.SH,科沃斯,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"刘海博,李越,陆竑",2026Q4,2229430.0,,,215539.0,3.79,,,20.79,,买入,,
600378.SH,昊华科技,20241031,申万宏源晨会报告,非个股,一般报告,申万宏源证券,"宋涛,周超",2024Q4,,,,129400.0,1.167,,,,,增持,,
600325.SH,华发股份,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"陈聪,张全国,王天瑜,刘河维,朱翀佚,李俊波",2026Q4,6196500.0,,,123500.0,0.45,,,5.1,,买入,,8.3
600325.SH,华发股份,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"陈聪,张全国,王天瑜,刘河维,朱翀佚,李俊波",2025Q4,6466200.0,,,126200.0,0.46,,,5.4,,买入,,8.3
600325.SH,华发股份,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"陈聪,张全国,王天瑜,刘河维,朱翀佚,李俊波",2024Q4,7052000.0,,,157000.0,0.57,,,6.9,,买入,,8.3
600325.SH,华发股份,20241031,房地产行业第43周周报（10月19日－10月25日）：本周新房二手房成交均走弱，新增与存量房贷利率下调均落地,非个股,一般报告,中银国际,"夏亦丰,许佳璐",2024Q4,,,,184394.192,0.67,,,,,买入,,
002015.SZ,协鑫能科,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"吴威辰,华鹏伟,李想,汪浩,林劼",2026Q4,1045500.0,,,111600.0,0.69,,,8.4,,买入,,11.0
002015.SZ,协鑫能科,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"吴威辰,华鹏伟,李想,汪浩,林劼",2025Q4,949800.0,,,101600.0,0.63,,,8.1,,买入,,11.0
002015.SZ,协鑫能科,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"吴威辰,华鹏伟,李想,汪浩,林劼",2024Q4,865300.0,,,92100.0,0.57,,,7.9,,买入,,11.0
600378.SH,昊华科技,20241031,申万宏源晨会报告,非个股,一般报告,申万宏源证券,"宋涛,周超",2026Q4,,,,251300.0,2.267,,,,,增持,,
600378.SH,昊华科技,20241031,申万宏源晨会报告,非个股,一般报告,申万宏源证券,"宋涛,周超",2025Q4,,,,196300.0,1.771,,,,,增持,,
002273.SZ,水晶光电,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"徐涛,胡叶倩雯,梁楠",2026Q4,885200.0,,,153700.0,1.11,,,14.4,,买入,,28.0
001215.SZ,千味央厨,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"盛夏,顾训丁,王加熊",2024Q4,196400.0,,,10600.0,1.07,,,5.6,,买入,,35.0
002273.SZ,水晶光电,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"徐涛,胡叶倩雯,梁楠",2025Q4,767100.0,,,131000.0,0.94,,,13.2,,买入,,28.0
002273.SZ,水晶光电,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"徐涛,胡叶倩雯,梁楠",2024Q4,637200.0,,,105200.0,0.76,,,11.4,,买入,,28.0
920599.BJ,同力股份,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"刘易,李越,田鹏,王涛,侯苏洋,任恒毅,王子昂",2026Q4,671400.0,,,78300.0,1.72,,,20.5,,买入,,18.0
920599.BJ,同力股份,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"刘易,李越,田鹏,王涛,侯苏洋,任恒毅,王子昂",2025Q4,611200.0,,,69000.0,1.51,,,20.8,,买入,,18.0
920599.BJ,同力股份,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"刘易,李越,田鹏,王涛,侯苏洋,任恒毅,王子昂",2024Q4,570600.0,,,62400.0,1.37,,,21.8,,买入,,18.0
600399.SH,抚顺特钢,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"李超,敖翀,唐川林,付宸硕,陈旺",2026Q4,1107400.0,,,84300.0,0.43,,,10.39,,买入,,10.0
600399.SH,抚顺特钢,20241031,中信证券每日盈利预测,非个股,一般报告,中信证券,"李超,敖翀,唐川林,付宸硕,陈旺",2025Q4,1001900.0,,,61000.0,0.31,,,8.3,,买入,,10.0
