ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
000007.SZ,20260422,20251231,预减,-97.7,-96.63,130.0,190.0,5642.17,20260128,预计:净利润130-190,公司前期业绩预测时，由于张嘉豪案件未有实质性进展，公司基于谨慎性原则对该案件预计损失计提了预计负债。2026年4月21日公司收到广东省深圳市福田区人民法院(2025)粵0304民初47192号《民事判决书》，法院裁定驳回原告张嘉豪的全部诉讼请求。根据《企业会计准则》相关规定，该判决结果将对公司2025年年度利润产生重大积极影响，该事项属于非经常性损益，故公司据此对前次业绩预告数据进行修正，具体影响金额以年审会计师审计确认后的结果为准。,0
603038.SH,20260422,20251231,续盈,-28.14,6.49,1660.0,2460.0,2310.13,20260130,预计:净利润1660-2460,在2025年度报告审计过程中，公司主动对报告期内收入确认相关会计处理进行全面复核，经财务自查发现公司在适用《企业会计准则第14号——收入》时，对准则相关规定的理解以及对项目控制权转移等关键事项的判断存在偏差。基于会计审慎性原则，公司拟对首次承接的一个大型市政水厂项目的收入确认方法由“时段法”调整为“时点法”，将该市政水厂项目的相关收益由2025年度调整至2026年度，该调整事项是本次业绩预告进行更正的主要原因。前述收入确认方法的调整源于公司对新收入准则规定“客户能够控制企业履约过程中在建的商品”的职业判断差异，属于对会计准则理解与判断不同导致的，非主观违规或核算舞弊。该调整事项尚需公司董事会审议。公司将在董事会审议后详细披露该调整事项的相关情况，具体内容详见后续公司披露的相关公告。,0
600421.SH,20260422,20251231,续亏,61.5697,74.3798,-180.0,-120.0,-468.38,20260129,预计:净利润-180--120,随着公司年报编制工作的深入以及审计工作的推进，结合公司自查及审计核查情况，为更加客观、准确地披露会计信息，严谨执行新收入准则，经与年审会计师事务所沟通，公司决定调减报告期内工程及信息化业务收入，预计2025年度营业收入调减3271.24万元，调减后营业收入为1.50亿元至1.65亿元。公司已就2025年度业绩预告修正事项与年审会计师事务所进行了沟通，公司与年审会计师事务所在业绩预告修正数据等重大事项上不存在分歧，最终数据以年审会计师事务所审计的财务数据为准。,0
600774.SH,20260422,20251231,续亏,-1133.9585,-928.2988,-18000.0,-15000.0,-1458.72,20260131,预计:净利润-18000--15000,公司在披露2025年度业绩预告时，年度审计工作尚未全面展开，相关数据系基于当时已获取的信息进行测算。随着年度审计工作的推进，公司与年审会计师充分沟通、审慎核实。年审会计师要求按照收益法对武汉华科生殖妇产医院进行评估，预计将计提1.6亿元至1.8亿元的商誉减值准备，较上次业绩预告多计提9000万元左右商誉减值准备。因此，公司及时对2025年度业绩预告进行更正。,0
600606.SH,20260422,20251231,续亏,-70.3961,-67.1811,-2650000.0,-2600000.0,-1555200.0,20260110,预计:净利润-2650000--2600000,公司在披露2025年度业绩预告时，年度审计工作尚未全面展开，相关数据系基于当时已获取的信息进行测算。随着年度审计工作的推进，公司与年审会计师充分沟通、审慎核实，公司对2025年度业绩预告进行更正。公司已就业绩预告更正事项与会计师事务所进行了沟通，在业绩预告更正数据等重大事项上不存在分歧，最终数据以会计师事务所审计的财务数据为准。,0
002221.SZ,20260421,20251231,首亏,-129.29,-120.27,-13000.0,-9000.0,44390.45,20260131,预计:净利润-13000--9000,公司在披露2025年度业绩预告后，随着年度审计工作的持续推进及相关资料的进一步汇总核实，公司与年报审计会计师事务所及相关部门充分沟通、审慎研判，公司对含贵金属（铂）的废催化剂销售业务的收入确认时点进行了复核。基于会计核算的谨慎性原则，公司将该笔销售收入的确认时点由2025年调整至2026年第一季度。,0
300937.SZ,20260421,20251231,首亏,-248.3,-174.34,-2426.0,-1216.0,1635.82,20260130,预计:净利润-2426--1216,公司随着年度财务决算工作和会计师事务所对公司的审计工作的开展，发现财务数据存在变动的情形，具体原因为：1、公司发现影响营业收入、营业成本金额确认的预计退货率、期后销售率、预估销售返利、合同履约成本确认时点等关键会计估计预估不准确，影响收入、成本确认金额，公司基于新的会计估计对收入、成本和所得税费用进行了调整，进而对利润产生影响；2、前次业绩预告时公司对部分被投资单位财务数据预估情况与后期被投资单位提供的财务数据存在一定偏差，公司基于此修正了公司财务数据，进而对利润产生影响；3、公司根据2026年一季度财务数据，修正了部分子公司的盈利预测，影响了递延所得税中部分项目的确认，相应的所得税费用的调整对利润产生影响。,0
301311.SZ,20260420,20251231,首亏,-1630.8912,-1084.1443,-9800.0,-6300.0,640.15,20260126,预计:净利润-9800--6300,"报告期内，公司预计净利润为负值，公司对2025年度业绩情况进行了重新评估，并对调整后业绩与公司前次业绩预告的偏差进行修正，主要原因：因客户自身战略发展变化，需要暂时停止项目实施；涉诉项目根据进展情况，按照谨慎性原则进行跌价测算。当期增加计提存货跌价准备1,762万元。",0
300598.SZ,20260420,20251231,续亏,8.74,20.65,-11500.0,-10000.0,-12602.0,20260130,预计:净利润-11500--10000,"参股公司统信软件技术有限公司（以下简称“统信软件”）的业绩对公司影响较大，公司对统信软件按权益法核算，不控制统信软件。根据目前统信软件给出的具体财务数据，统信软件2025年盈利约23,000万元，公司应相应计入投资收益约5,000万元。同时统信软件对其过往年度收入、利润等财务指标进行了调整，公司拟将相关调整作为2025年发生额按权益法核算入账，上述调整事项导致公司2025年投资收益减少约6,000万元，相应减少公司利润并影响公司长期股权投资和资本公积金，对公司主营业务的财务数据没有影响。除此之外，公司自身财务数据没有重大调整。以上调整导致公司2025年亏损额比2025年业绩预告时增加，但与2024年相比亏损额仍有所减少。",0
301311.SZ,20260420,20251231,首亏,-1630.8912,-1084.1443,-9800.0,-6300.0,640.15,20260126,预计:净利润-9800--6300,"报告期内，公司预计净利润为负值，公司对2025年度业绩情况进行了重新评估，并对调整后业绩与公司前次业绩预告的偏差进行修正，主要原因：因客户自身战略发展变化，需要暂时停止项目实施；涉诉项目根据进展情况，按照谨慎性原则进行跌价测算。当期增加计提存货跌价准备1,762万元。",1
