ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
601919.SH,20250408,20250331,预增,73.04,73.04,1168900.0,1168900.0,675500.0,20250408,预计:净利润1168900,2025年第一季度，全球集装箱货量较上年同期仍然保持了一定的增长，一季度中国出口集装箱运价综合指数（CCFI）均值也同比实现了提升。对此，中远海控主动把握市场机遇，积极应对风险挑战，坚持以自身发展的确定性应对外部环境的不确定性，不断加强对市场趋势的前瞻性和系统性预判，努力优化全球网络布局和营销策略，切实提升客户服务水准和全球供应链韧性，有效推进企业精细化管理，在数字智能和绿色低碳新赛道上持续“以进求新”，不仅较好地稳定了经营基本面，更显著提升了企业核心竞争力，2025年企业经营发展取得了“稳中有进”的良好开局。,0
601919.SH,20250111,20241231,预增,105.71,105.71,4908200.0,4908200.0,2386000.0,20250111,预计:净利润4908200,2024年度，集装箱航运市场货量整体呈现温和增长态势，伴随着红海局势持续发酵等因素，有效运力供给不足，市场运价处于相对高位。面对复杂多变的全球经贸形势，中远海控坚持以自身发展的确定性应对外部环境的不确定性，在集装箱航运主航道建设上始终保持“稳中求进”，在数字智能和绿色低碳新赛道上持续“以进求新”，不断增强全球供应链韧性，持续打造“集装箱航运+港口+相关物流”一体化全链服务品牌，有效提升企业核心竞争力。2024年度，公司集装箱航运业务同比实现量价齐升，取得了较好的经营业绩。,0
601919.SH,20241008,20240930,预增,72.7199,72.7199,3812100.0,3812100.0,2207100.0,20241008,预计:净利润3812100,2024年前三季度，主要市场货量温和增长，运力供给受红海局势持续影响，全球供应链总体呈现紧张态势；2024年第3季度，随着欧美主干航线市场进入旺季，公司集装箱航运业务实现量价齐升。面对复杂多变的全球经贸形势，中远海控坚持以自身发展的确定性应对外部环境的不确定性，在数字智能和绿色低碳新赛道上持续“以进求新”，不断增强全球供应链韧性，有效提升企业核心竞争力，取得了较好的经营业绩。,0
601919.SH,20240110,20231231,预减,-78.25,-78.25,2385900.0,2385900.0,10970200.0,20240110,预计:净利润2385900,本期业绩预减的主要原因2023年，集装箱航运业面临运输需求走弱、运力供给上升、地缘局势紧张等诸多挑战，市场运价水平较去年显著下降。2023年中国出口集装箱运价综合指数（CCFI）均值为937.29点，同比下降66.43%。在上年同期业绩基数较高的情况下，报告期内公司集装箱航运业务收入同比下降，导致本期业绩与上年同期相比减少。报告期内，面对市场变化和挑战，本公司坚持以客户为中心，秉持绿色低碳可持续发展理念，围绕“以集装箱航运为核心的全球数字化供应链运营和投资平台”的定位，锚定数字智能和绿色低碳两大赛道，大力推进全球数字化供应链和绿色智能航运建设，并通过不断完善全球资源网络布局，深化精益管理和成本管控，努力为全球客户提供“集装箱航运+港口+相关物流服务”的供应链解决方案，为世界贸易搭建高效、顺畅、安全的流通体系。,1
601919.SH,20240110,20231231,预减,-78.25,-78.25,2385900.0,2385900.0,10970200.0,20240110,预计:净利润2385900,本期业绩预减的主要原因2023年，集装箱航运业面临运输需求走弱、运力供给上升、地缘局势紧张等诸多挑战，市场运价水平较去年显著下降。2023年中国出口集装箱运价综合指数（CCFI）均值为937.29点，同比下降66.43%。在上年同期业绩基数较高的情况下，报告期内公司集装箱航运业务收入同比下降，导致本期业绩与上年同期相比减少。报告期内，面对市场变化和挑战，本公司坚持以客户为中心，秉持绿色低碳可持续发展理念，围绕“以集装箱航运为核心的全球数字化供应链运营和投资平台”的定位，锚定数字智能和绿色低碳两大赛道，大力推进全球数字化供应链和绿色智能航运建设，并通过不断完善全球资源网络布局，深化精益管理和成本管控，努力为全球客户提供“集装箱航运+港口+相关物流服务”的供应链解决方案，为世界贸易搭建高效、顺畅、安全的流通体系。,0
601919.SH,20231010,20230930,预减,-77.35,-77.35,2205900.0,2205900.0,9737700.0,20231010,预计:净利润2205900,本期业绩预减的主要原因2023年以来，集装箱航运业面临运输需求走弱、运力供给上升等诸多挑战，市场运价水平较去年显著下降。2023年前三季度，中国出口集装箱运价综合指数（CCFI）均值同比下降69.54%。在上年同期业绩基数较高的情况下，报告期内公司集装箱航运业务收入同比下降，导致本期业绩与上年同期相比减少。报告期内，面对市场变化，本公司坚持以客户为中心，秉持绿色低碳可持续发展理念，围绕“以集装箱航运为核心的全球数字化供应链运营和投资平台”的定位，通过完善全球资源网络布局，强化科技创新和数智化赋能，深化精益管理和成本管控，努力为全球客户提供“集装箱航运+港口+相关物流服务”的供应链解决方案，为世界贸易搭建高效、顺畅、安全的流通体系。,1
601919.SH,20231010,20230930,预减,-77.35,-77.35,2205900.0,2205900.0,9737700.0,20231010,预计:净利润2205900,本期业绩预减的主要原因2023年以来，集装箱航运业面临运输需求走弱、运力供给上升等诸多挑战，市场运价水平较去年显著下降。2023年前三季度，中国出口集装箱运价综合指数（CCFI）均值同比下降69.54%。在上年同期业绩基数较高的情况下，报告期内公司集装箱航运业务收入同比下降，导致本期业绩与上年同期相比减少。报告期内，面对市场变化，本公司坚持以客户为中心，秉持绿色低碳可持续发展理念，围绕“以集装箱航运为核心的全球数字化供应链运营和投资平台”的定位，通过完善全球资源网络布局，强化科技创新和数智化赋能，深化精益管理和成本管控，努力为全球客户提供“集装箱航运+港口+相关物流服务”的供应链解决方案，为世界贸易搭建高效、顺畅、安全的流通体系。,0
601919.SH,20230704,20230630,预减,-74.47,-74.47,1655100.0,1655100.0,6483100.0,20230704,预计:净利润1655100,2023年上半年，由于集装箱航运业供需发生变化，中国出口集装箱运价综合指数（CCFI）均值同比下降69.31%。在上年同期业绩基数较高的情况下，报告期内公司集装箱航运业务收入同比下降，导致业绩与上年同期相比减少。报告期内，面对市场变化，本公司坚持稳健经营，财务结构持续优化，总体经营情况呈现更强的韧性。本公司围绕“以集装箱航运为核心的全球数字化供应链运营和投资平台”的定位，坚持数字化变革与绿色低碳发展双轮驱动，加快推动海内外供应链资源布局，不断提高“集装箱航运+港口+相关物流”一体化运营能力，深度融入先进制造业、现代农业产业链供应链服务体系，努力为客户提供数字化全程供应链服务。,1
601919.SH,20230704,20230630,预减,-74.47,-74.47,1655100.0,1655100.0,6483100.0,20230704,预计:净利润1655100,2023年上半年，由于集装箱航运业供需发生变化，中国出口集装箱运价综合指数（CCFI）均值同比下降69.31%。在上年同期业绩基数较高的情况下，报告期内公司集装箱航运业务收入同比下降，导致业绩与上年同期相比减少。报告期内，面对市场变化，本公司坚持稳健经营，财务结构持续优化，总体经营情况呈现更强的韧性。本公司围绕“以集装箱航运为核心的全球数字化供应链运营和投资平台”的定位，坚持数字化变革与绿色低碳发展双轮驱动，加快推动海内外供应链资源布局，不断提高“集装箱航运+港口+相关物流”一体化运营能力，深度融入先进制造业、现代农业产业链供应链服务体系，努力为客户提供数字化全程供应链服务。,0
601919.SH,20230411,20230331,预减,-74.91,-74.91,693300.0,693300.0,2763800.0,20230411,预计:净利润693300,2023年第一季度由于集装箱航运业供需发生变化，中国出口集装箱运价综合指数（CCFI）均值同比下降68.45%。在上年同期业绩基数较高的情况下，主要由于报告期内公司集装箱航运业务收入下降，导致业绩与上年同期相比减少。本公司经营正常，通过不断完善全球布局、强化数智赋能、落实成本管控、加快绿色转型，努力为千行百业提供低碳、智能、可靠的集装箱物流供应链解决方案，为全球贸易搭建高效、顺畅、安全的流通体系，为客户提供更好的服务。,1
