ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
300385.SZ,20260129,20251231,续亏,35.3911,54.7737,-30000.0,-21000.0,-46433.2,20260129,预计:净利润-30000--21000,"1、报告期内，一方面，制造板块受垃圾焚烧发电行业市场萎缩、钢铁行业需求疲软及公司资金承压等因素影响，项目执行未达预期，部分重点项目进度及结算节点滞后，营业收入较上年进一步收缩；叠加行业竞争进一步加剧，公司难以通过调价方式传导成本压力，板块毛利率下降；另一方面，危废运营板块仍处于深度调整阶段，行业竞争持续加剧，收运量及整体收料价格同步走低。2、公司本年度亏损收窄的原因：主要是上年度公司对上海长盈环保服务有限公司商誉计提减值准备约18,000万元；上年度公司对南京卓越环保科技有限公司资产组计提减值准备约3,000万元；上年度公司控股子公司南京卓越环保科技有限公司终止建设固废资源化利用项目，计提资产减值损失1,424.97万元。3、本报告期公司预计非经常性损益对归属于上市公司股东的净利润影响约为500万元，其中主要为政府补助。",1
300385.SZ,20260129,20251231,续亏,35.3911,54.7737,-30000.0,-21000.0,-46433.2,20260129,预计:净利润-30000--21000,"1、报告期内，一方面，制造板块受垃圾焚烧发电行业市场萎缩、钢铁行业需求疲软及公司资金承压等因素影响，项目执行未达预期，部分重点项目进度及结算节点滞后，营业收入较上年进一步收缩；叠加行业竞争进一步加剧，公司难以通过调价方式传导成本压力，板块毛利率下降；另一方面，危废运营板块仍处于深度调整阶段，行业竞争持续加剧，收运量及整体收料价格同步走低。2、公司本年度亏损收窄的原因：主要是上年度公司对上海长盈环保服务有限公司商誉计提减值准备约18,000万元；上年度公司对南京卓越环保科技有限公司资产组计提减值准备约3,000万元；上年度公司控股子公司南京卓越环保科技有限公司终止建设固废资源化利用项目，计提资产减值损失1,424.97万元。3、本报告期公司预计非经常性损益对归属于上市公司股东的净利润影响约为500万元，其中主要为政府补助。",0
300385.SZ,20250120,20241231,续亏,-958.1739,-648.2038,-49500.0,-35000.0,-4677.87,20250120,预计净利润-49500~-35000万,"报告期内，归属于上市公司股东净利润变动的主要原因如下：1、报告期内，公司制造板块，受垃圾焚烧发电行业市场萎缩,钢铁行业需求减少等因素影响，项目执行、回款等工作未达预期，部分重点项目执行进度及结算节点有所延缓，公司营业收入较上年下降明显；2024年度完工项目中新行业、新工艺的系统设备占比较高，项目效益未达预期；危废运营板块，危废处置市场竞争态势进一步加剧，整体收料价格有所下滑。2、2024年度公司对上海长盈环保服务有限公司商誉计提减值准备约18,000万元；2024年度公司对南京卓越环保科技有限公司资产组计提减值准备约3,000万元；2024年度公司控股子公司南京卓越环保科技有限公司终止建设固废资源化利用项目，计提资产减值损失1,832万元。3、本报告期公司预计非经常性损益对归属于上市公司股东的净利润影响约为500万元，其中主要为政府补助。",1
300385.SZ,20250120,20241231,续亏,-958.1739,-648.2038,-49500.0,-35000.0,-4677.87,20250120,预计:净利润-49500--35000,"报告期内，归属于上市公司股东净利润变动的主要原因如下：1、报告期内，公司制造板块，受垃圾焚烧发电行业市场萎缩,钢铁行业需求减少等因素影响，项目执行、回款等工作未达预期，部分重点项目执行进度及结算节点有所延缓，公司营业收入较上年下降明显；2024年度完工项目中新行业、新工艺的系统设备占比较高，项目效益未达预期；危废运营板块，危废处置市场竞争态势进一步加剧，整体收料价格有所下滑。2、2024年度公司对上海长盈环保服务有限公司商誉计提减值准备约18,000万元；2024年度公司对南京卓越环保科技有限公司资产组计提减值准备约3,000万元；2024年度公司控股子公司南京卓越环保科技有限公司终止建设固废资源化利用项目，计提资产减值损失1,832万元。3、本报告期公司预计非经常性损益对归属于上市公司股东的净利润影响约为500万元，其中主要为政府补助。",0
300385.SZ,20240131,20231231,续亏,57.9713,69.9795,-4900.0,-3500.0,-11658.7,20240131,预计:净利润-4900--3500,"报告期内，归属于上市公司股东净利润变动的主要原因如下：1、报告期内，公司制造板块，项目执行、回款等工作未达预期，部分重点项目执行进度及结算节点有所延缓，应收账款回款周期拉长，公司营业收入较上年有所下降，应收账款减值较上年有所上升；危废运营板块，危废处置市场竞争态势进一步加剧，整体收料价格有所下滑。2、2022年度，公司对南京卓越环保科技有限公司商誉计提减值准备10,385万元。3、报告期内非经常性损益对归属于公司股东净利润的影响金额约为3,000万元。其中，主要影响因素为江苏无锡经济开发区太湖街道办事处因项目建设需征收公司位于经开区太湖街道和风路的土地，公司与其签订了补偿协议，因此，2023年增加了资产处置收益3,010万元。",1
300385.SZ,20240131,20231231,续亏,57.9713,69.9795,-4900.0,-3500.0,-11658.7,20240131,预计:净利润-4900--3500,"报告期内，归属于上市公司股东净利润变动的主要原因如下：1、报告期内，公司制造板块，项目执行、回款等工作未达预期，部分重点项目执行进度及结算节点有所延缓，应收账款回款周期拉长，公司营业收入较上年有所下降，应收账款减值较上年有所上升；危废运营板块，危废处置市场竞争态势进一步加剧，整体收料价格有所下滑。2、2022年度，公司对南京卓越环保科技有限公司商誉计提减值准备10,385万元。3、报告期内非经常性损益对归属于公司股东净利润的影响金额约为3,000万元。其中，主要影响因素为江苏无锡经济开发区太湖街道办事处因项目建设需征收公司位于经开区太湖街道和风路的土地，公司与其签订了补偿协议，因此，2023年增加了资产处置收益3,010万元。",0
300385.SZ,20230131,20221231,首亏,-182.0711,-165.6569,-10000.0,-8000.0,12184.56,20230131,预计:净利润-10000--8000,"报告期内，归属于上市公司股东净利润变动的主要原因如下：1、2021年公司位于无锡市经开区太湖街道双新经济园区的土地、房屋及附属设施等被无锡经开区太湖街道办事处征收，因此2021年增加了资产处置收益10,516万元。2、根据财政部《企业会计准则》及中国证监会发布的《会计监管风险提示第8号—商誉减值》文件要求，公司对收购南京卓越环保科技有限公司（以下简称“南京卓越”）及上海长盈环保服务有限公司（以下简称“上海长盈”）的股权所形成的商誉进行了初步减值测试，上海长盈商誉不存在减值，拟对南京卓越商誉计提减值准备约10,386万元。公司商誉减值准备实际计提金额，需根据评估机构的评估报告及会计师事务所审计数据确定。3、报告期内非经常性损益对归属于公司股东净利润的影响金额约为255万元。",1
300385.SZ,20230131,20221231,首亏,-182.0711,-165.6569,-10000.0,-8000.0,12184.56,20230131,预计净利润-10000~-8000万,"报告期内，归属于上市公司股东净利润变动的主要原因如下：1、2021年公司位于无锡市经开区太湖街道双新经济园区的土地、房屋及附属设施等被无锡经开区太湖街道办事处征收，因此2021年增加了资产处置收益10,516万元。2、根据财政部《企业会计准则》及中国证监会发布的《会计监管风险提示第8号—商誉减值》文件要求，公司对收购南京卓越环保科技有限公司（以下简称“南京卓越”）及上海长盈环保服务有限公司（以下简称“上海长盈”）的股权所形成的商誉进行了初步减值测试，上海长盈商誉不存在减值，拟对南京卓越商誉计提减值准备约10,386万元。公司商誉减值准备实际计提金额，需根据评估机构的评估报告及会计师事务所审计数据确定。3、报告期内非经常性损益对归属于公司股东净利润的影响金额约为255万元。",0
300385.SZ,20220128,20211231,扭亏,133.5177,140.5728,11250.0,13618.0,-33564.33,20220128,预计:净利润11250-13618,"报告期内，归属于上市公司股东净利润变动的主要原因如下：1、报告期内，公司位于无锡市经开区太湖街道双新经济园区的土地、房屋及附属设施等被无锡经开区太湖街道办事处征收，因此增加的资产处置收益和政府补助为11,500万元，较去年同期有了大幅增加，相关收益均为非经常性损益；2、2020年度，公司对南京卓越环保科技有限公司商誉计提减值准备51,936.59万元；3、2020年7月，原联营企业上海长盈环保服务有限公司被纳入公司合并报表范围；4、报告期内，虽然公司营业收入较去年同期有所增加，但由于市场竞争激烈及原材料价格上涨等因素影响，导致公司相关费用增加、毛利率下降；5、报告期内非经常性损益对归属于公司股东净利润的影响金额约为10,175万元。",1
300385.SZ,20220128,20211231,扭亏,133.5177,140.5728,11250.0,13618.0,-33564.33,20220128,预计净利润11250-13618万,"报告期内，归属于上市公司股东净利润变动的主要原因如下：1、报告期内，公司位于无锡市经开区太湖街道双新经济园区的土地、房屋及附属设施等被无锡经开区太湖街道办事处征收，因此增加的资产处置收益和政府补助为11,500万元，较去年同期有了大幅增加，相关收益均为非经常性损益；2、2020年度，公司对南京卓越环保科技有限公司商誉计提减值准备51,936.59万元；3、2020年7月，原联营企业上海长盈环保服务有限公司被纳入公司合并报表范围；4、报告期内，虽然公司营业收入较去年同期有所增加，但由于市场竞争激烈及原材料价格上涨等因素影响，导致公司相关费用增加、毛利率下降；5、报告期内非经常性损益对归属于公司股东净利润的影响金额约为10,175万元。",0
